name_korean,name_english,acidity,body,sweetness,tannin
알리아니코,Aglianico,4,5,1,4
알바리뇨,Albarino(Alvarinho),3,2,1,1
아르반,Arbanne,5,2,1,1
아린토,Arinto,3,1,1,1
오쎄후와,Auxerrois,4,2,1,1
바르베라,Barbera,4,3,1,3
블렌드,Blend,4,2,1,1
보나르다,Bonarda,3,5,1,5
카베르네 프랑,Cabernet Franc,3,3,1,3
카베르네 소비뇽,Cabernet Sauvignon,2,4,1,3
카나이올로,Canaiolo,3,4,1,3
까리냥,Carignan/Carignane,3,4,1,3
카르메네르,Carmenere,3,4,1,3
샤르도네,Chardonnay,3,3,1,1
슈냉 블랑,Chenin Blanc,4,3,1,1
쌩쏘,Cinsault,4,3,1,1
콜로리노,Colorino,3,3,1,3
코르테제,Cortese,4,3,1,1
코르비나,Corvina,4,2,1,2
코르비나 베로네제,Corvina Veronese,3,4,1,4
코르비노네,Corvinone,4,2,1,2
크로아티나,Croatina,3,4,1,4
프론티냑,Frontignac,2,3,3,1
가르가네가,Garganega,3,2,1,1
가르나차,Garnacha,3,3,1,3
가르나차 블랑카,Garnacha Blanca,4,2,1,1
가르나차,Garnatxa,3,4,1,3
게뷔르츠트라미너,Gewurztraminer,2,3,1,1
그라시아노,Graciano,4,4,1,4
그르나슈,Grenache,2,3,1,3
인크로시오 만조니,Incrocio Manzoni,3,3,1,1
라그레인,Lagrein,3,3,1,3
마카베오,Macabeo,4,3,2,1
말벡,Malbec,3,4,1,4
말바시아,Malvasia,3,3,3,2
마타로,Mataro,4,5,1,4
마투라나 틴타,Maturana Tinta,3,2,1,1
마주엘로,Mazuelo,3,4,1,3
멘시아,Mencia,1,3,1,3
메를로,Merlot,2,3,3,2
모나스트렐,Monastrell,3,2,2,2
몬테풀치아노,Montepulciano,3,5,1,3
무르베드르,Mourvedre,3,4,1,4
뮈스까,Muscat,4,3,1,1
네비올로,Nebbiolo,5,5,1,4
네로 다볼라,Nero d'Avola,3,4,1,3
오세레타,Oseleta,3,5,5,1
기타 품종,Other Grapes,3,3,1,3
빠레야다,Parellada,4,3,3,1
쁘띠 메슬리에,Petit Meslier,3,2,1,1
쁘띠 쉬라,Petit Syrah,4,3,1,3
쁘띠 베르도,Petit Verdot,3,4,1,3
쁘띠 시라,Petite Sirah,3,4,1,4
피노 비앙코,Pinot Bianco,3,2,1,1
피노 블랑,Pinot Blanc,4,3,1,1
피노 그리,Pinot Gris,3,1,1,1
피노 뮈니에,Pinot Meunier,5,3,1,1
피노 누아,Pinot Noir,0,3,1,2
프리미티보,Primitivo,4,3,1,1
리슬링,Riesling,4,3,1,1
론디넬라,Rondinella,4,5,2,3
루비 카베르네,Ruby Cabernet,2,2,1,2
산지오베제,Sangiovese,4,3,1,3
산지오베제 그로쏘,Sangiovese Grosso,4,3,1,2
소비뇽 블랑,Sauvignon Blanc,3,3,1,1
소비뇽 블랑 뮈스케,Sauvignon Blanc Musque,4,3,2,1
세미용,Semillon,3,3,1,1
시라/쉬라즈,Syrah/Shiraz,3,3,1,3
따나,Tannat,3,3,1,3
템프라니요,Tempranillo,3,3,1,3
틴타 아마렐라,Tinta Amarela,3,2,1,1
틴타 바로카,Tinta Barroca,3,3,3,3
틴타 프란카,Tinta Franca,3,4,1,3
틴타 로리즈,Tinta Roriz,3,3,1,3
틴토 까오,Tinto Cao,3,3,3,3
투리가 프란카,Touriga Franca,3,5,1,3
투리가 나시오날,Touriga Nacional,3,5,1,3
트레비아노,Trebbiano,4,3,1,1
베르데호,Verdejo,4,2,2,1
베르델호,Verdelho,3,3,1,1
베르디키오 비앙코,Verdicchio Bianco,4,3,1,1
베르딜,Verdil,4,2,1,1
베르두초 프리울라노,Verduzzo Friulano,3,3,1,1
베르멘티노,Vermentino,4,2,1,1
비오니에,Viognier,3,5,1,1
비우라,Viura,3,4,1,4
자렐로,Xarel.lo,4,2,1,1
진판델,Zinfandel,4,4,1,3